Bug ID	aflfast	 	aflplusplus	 	alfuzz	 	moptafl
	 R	T	R	T	R	T	R	T
PHP002	15.0	-	10.0	-	28.5	-	15.0	-
PHP003	15.0	-	15.0	-	29.0	-	15.0	-
PHP004	15.0	1369.0	15.0	14940.0	26.0	2987.0	15.0	3400.5
PHP009	15.0	19939.0	15.0	31750.0	26.0	2063.0	15.0	5212.5
PHP011	10.0	11756.5	15.0	2306.0	18.0	380.5	10.0	81.0
PNG001	15.0	-	15.0	-	20.0	-	15.0	-
PNG003	10.0	15.0	15.0	52.0	15.0	32.5	10.0	21.5
PNG004	15.0	-	16.5	-	25.0	-	24.0	-
PNG005	15.0	-	15.0	-	20.0	-	15.0	-
PNG006	15.0	-	10.0	335.5	20.0	132.5	15.0	-
PNG007	15.0	-	15.0	40273.333333333336	20.0	31479.0	15.0	32660.714285714286
SND001	452.0	-	20.5	1496.5	25.0	914.5	15.0	709.0
SND005	10.0	5713.5	268.5	7514.0	19.0	11112.5	10.0	134.5
SND006	452.0	-	19.0	4954.0	25.0	1728.0	15.0	861.5
SND007	452.0	-	19.0	3541.0	25.0	4409.0	15.0	867.5
SND016	452.0	-	10.0	-	24.0	-	15.0	-
SND017	452.0	467.0	1360.0	1439.0	2699.0	2895.5	75.5	121.5
SND020	2501.5	-	2346.0	2580.0	4951.0	9551.5	113.0	1222.5
SND024	452.0	-	15.5	2739.0	25.0	1726.0	15.0	856.0
SQL002	4555.0	50100.555555555555	286.5	20463.5	68.0	3796.0	59.5	4968.0
SQL003	-	-	26320.0	-	51757.5	-	-	-
SQL006	-	-	-	-	34387.5	-	64830.0	-
SQL007	4680.5	-	287.0	-	59.5	-	51.5	-
SQL009	39539.166666666664	-	2829.5	-	1897.0	-	7292.0	-
SQL010	9737.0	-	595.5	-	133.5	-	281.0	-
SQL012	-	-	50227.857142857145	57428.333333333336	45895.0	-	-	-
SQL014	36593.333333333336	42605.0	25030.0	61408.0	3989.0	15732.5	8076.875	24617.5
SQL015	7138.5	-	299.0	-	71.0	-	63.5	-
SQL016	9965.0	-	480.5	-	145.5	-	120.0	-
SQL017	11971.0	-	596.5	-	155.5	-	301.0	-
SQL018	28595.833333333332	34990.0	4763.5	23573.0	696.0	12753.0	12874.444444444445	22481.875
SQL019	15972.0	-	1385.5	-	290.0	-	154.5	-
SQL020	-	-	64765.0	64765.0	41655.0	40340.0	-	-
SSL001	19.5	-	70.33333333333333	47257.77777777778	28.5	6724.0	18.666666666666668	52315.0
SSL002	15.0	210.25	15.0	469.5	21.0	298.0	15.0	214.0
SSL003	11.25	160.5	12.5	292.5	17.25	196.5	11.25	170.5
SSL005	15.0	-	15.0	-	22.0	-	15.0	-
SSL008	15.5	-	20.0	-	21.5	-	15.0	-
SSL009	15.0	26110.0	15.0	-	22.0	-	15.0	40834.28571428572
SSL010	13.333333333333334	-	12.5	-	19.583333333333332	-	13.333333333333334	-
SSL016	18.0	-	18.333333333333332	-	24.666666666666668	-	16.833333333333332	-
SSL019	12.5	-	12.5	-	18.5	-	12.5	-
SSL020	15.0	23118.0	15.0	-	22.0	-	15.0	16374.375
TIF001	31175.0	-	-	-	58650.0	-	61836.0	-
TIF002	-	-	18332.5	8800.0	41370.769230769234	63821.0	42703.88888888889	62908.0
TIF003	12.5	-	7.5	-	17.5	-	12.5	-
TIF005	-	-	6425.0	6425.0	26063.333333333332	26063.333333333332	-	-
TIF006	-	-	5902.5	5902.5	24493.5	24493.5	45056.42857142857	45056.42857142857
TIF007	915.25	5975.75	40.75	361.25	75.5	1307.75	53.75	140.25
TIF008	33692.5	35612.5	12422.5	-	61865.0	-	53400.0	58011.666666666664
TIF009	38305.555555555555	40598.333333333336	11255.0	11255.0	54666.25	54666.25	18987.85714285714	19002.14285714286
TIF010	22756.38888888889	-	11945.526315789473	-	31900.0	-	2873.5	-
TIF012	7.5	28970.277777777777	12.5	7070.5	12.5	20242.75	7.5	5836.5
TIF014	915.25	35393.0	40.75	17669.5	75.5	15217.75	53.75	2196.25
XML001	15.0	-	30.25	8958.333333333334	22.5	19716.666666666668	15.5	36227.142857142855
XML002	-	-	25705.0	25705.0	-	-	-	-
XML003	15.0	-	17.5	12017.5	22.5	17744.166666666668	15.0	36000.0
XML006	15.0	-	30.25	-	22.5	-	15.5	-
XML008	669.0	-	92.75	-	64.0	-	125.5	-
XML009	15.0	41089.230769230766	10.0	7865.5	22.5	4508.333333333333	15.0	2483.75
XML011	15.0	-	33.5	-	24.5	-	7389.090909090909	-
XML012	15.0	-	24.5	-	22.5	-	15.0	39012.5
XML017	10.0	45.25	15.0	164.25	15.5	112.75	10.0	67.75
